SystolicArterialPressure,mmHg,Mean,"[100,140]",Leeuwen2015laboratory,p93,,Cardiovascular,,1f
Compartment Data,Units,Algorithm,Chosen Values,Reference,Page,Notes,Table,ResultsFile,SignificantDigits
Aorta-Volume,mL,Mean,283.7,valentin2002icrp,,,CardiovascularCompartments,,1f
Aorta-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
BrainVasculature-Volume ,mL,Mean,68.1,valentin2002icrp,,,CardiovascularCompartments,,1f
BrainVasculature-InFlow ,mL/s,Mean,11.4,valentin2002icrp,,,CardiovascularCompartments,,1f
BrainVasculature-Oxygen-PartialPressure,mmHg,Mean,40,dhawan2011neurointensive,409,,CardiovascularCompartments,,1f
BoneVasculature-Volume ,mL,Mean,397.2,valentin2002icrp,,,CardiovascularCompartments,,1f
BoneVasculature-InFlow ,mL/s,Mean,4.7,valentin2002icrp,,,CardiovascularCompartments,,1f
FatVasculature-Volume ,mL,Mean,283.7,valentin2002icrp,,,CardiovascularCompartments,,1f
FatVasculature-InFlow ,mL/s,Mean,4.7,valentin2002icrp,,,CardiovascularCompartments,,1f
KidneyVasculature-Volume ,mL,Mean,"[63.4,75.8]",effros1967vascular,,,CardiovascularCompartments,,1f
KidneyVasculature-InFlow ,mL/s,Mean,18.6,valentin2002icrp,,,CardiovascularCompartments,,1f
LargeIntestineVasculature-Volume ,mL,Mean,107.8,valentin2002icrp,,,CardiovascularCompartments,,1f
LargeIntestineVasculature-InFlow ,mL/s,Mean,3.8,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftArmVasculature-Volume ,mL,Mean,56.7,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftHeart-Volume ,mL,WaveformMin,"[34,66]",hudsmuth2005heartvolume,,,CardiovascularCompartments,,1f
LeftHeart-Volume ,mL,WaveformMax,"[131,189]",hudsmuth2005heartvolume,,,CardiovascularCompartments,,1f
LeftHeart-Pressure ,mmHg,WaveformMin,"[4,12]",Edwards2009pocket,,,CardiovascularCompartments,,1f
LeftHeart-Pressure ,mmHg,WaveformMax,"[100,140]",homoud2008introduction,p8,,CardiovascularCompartments,,1f
LeftHeart-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftKidneyVasculature-Volume ,mL,Mean,"[31.7,37.9]",effros1967vascular,,,CardiovascularCompartments,,1f
LeftKidneyVasculature-InFlow ,mL/s,Mean,9.3,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftLegVasculature-Volume ,mL,Mean,85.7,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftPulmonaryArteries-Volume ,mL,Mean,96.5,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftPulmonaryArteries-InFlow ,mL/s,Mean,45,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftPulmonaryCapillaries-Volume ,mL,Mean,65.3,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftPulmonaryCapillaries-InFlow ,mL/s,Mean,45,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftPulmonaryVeins-Volume ,mL,Mean,192.9,valentin2002icrp,,,CardiovascularCompartments,,1f
LeftPulmonaryVeins-InFlow ,mL/s,Mean,45,valentin2002icrp,,,CardiovascularCompartments,,1f
LiverVasculature-Volume ,mL,Mean,601.5,valentin2002icrp,,,CardiovascularCompartments,,1f
LiverVasculature-InFlow ,mL/s,Mean,24.2,guyton2006medical,p838,,CardiovascularCompartments,,1f
MuscleVasculature-Volume ,mL,Mean,794.4,valentin2002icrp,,,CardiovascularCompartments,,1f
MuscleVasculature-InFlow ,mL/s,Mean,16.1,valentin2002icrp,,,CardiovascularCompartments,,1f
MyocardiumVasculature-Volume ,mL,Mean,39.7,valentin2002icrp,,,CardiovascularCompartments,,1f
MyocardiumVasculature-InFlow ,mL/s,Mean,3.8,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryArteries-Volume ,mL,Mean,192.9,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryArteries-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryArteries-Pressure ,mmHg,WaveformMin,"[4,12]",Leeuwen2015laboratory,p93,,CardiovascularCompartments,,1f
PulmonaryArteries-Pressure ,mmHg,WaveformMax,"[15,30]",Leeuwen2015laboratory,p93,,CardiovascularCompartments,,1f
PulmonaryCapillaries-Volume ,mL,Mean,130.5,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryCapillaries-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryCapillaries-Pressure ,mmHg,Mean,"[4,12]",Leeuwen2015laboratory,p93,,CardiovascularCompartments,,1f
PulmonaryVeins-Volume ,mL,Mean,385.8,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryVeins-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
PulmonaryVeins-Pressure ,mmHg,Mean,"[4,12]",Leeuwen2015laboratory,p93,,CardiovascularCompartments,,1f
RightArmVasculature-Volume ,mL,Mean,56.7,valentin2002icrp,,,CardiovascularCompartments,,1f
RightHeart-Volume ,mL,WaveformMin,"[58,98],
[50,100]","hudsmuth2005heartvolume,
Edwards2009pocket",,,CardiovascularCompartments,,1f
RightHeart-Volume ,mL,WaveformMax,"[157,223],
[100,160]","hudsmuth2005heartvolume,
Edwards2009pocket",,,CardiovascularCompartments,,1f
RightHeart-Pressure ,mmHg,WaveformMin,"[2,8]",Edwards2009pocket,,,CardiovascularCompartments,,1f
RightHeart-Pressure ,mmHg,WaveformMax,"[15,30]",Edwards2009pocket,,,CardiovascularCompartments,,1f
RightHeart-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
RightKidneyVasculature-Volume ,mL,Mean,"[31.7,37.9]",effros1967vascular,,,CardiovascularCompartments,,1f
RightKidneyVasculature-InFlow ,mL/s,Mean,9.3,valentin2002icrp,,,CardiovascularCompartments,,1f
RightLegVasculature-Volume ,mL,Mean,85.7,valentin2002icrp,,,CardiovascularCompartments,,1f
RightPulmonaryArteries-Volume ,mL,Mean,96.5,valentin2002icrp,,,CardiovascularCompartments,,1f
RightPulmonaryArteries-InFlow ,mL/s,Mean,49.7,valentin2002icrp,,,CardiovascularCompartments,,1f
RightPulmonaryCapillaries-Volume ,mL,Mean,65.3,valentin2002icrp,,,CardiovascularCompartments,,1f
RightPulmonaryCapillaries-InFlow ,mL/s,Mean,49.7,valentin2002icrp,,,CardiovascularCompartments,,1f
RightPulmonaryVeins-Volume ,mL,Mean,192.9,valentin2002icrp,,,CardiovascularCompartments,,1f
RightPulmonaryVeins-InFlow ,mL/s,Mean,49.7,valentin2002icrp,,,CardiovascularCompartments,,1f
SkinVasculature-Volume ,mL,Mean,181.6,valentin2002icrp,,,CardiovascularCompartments,,1f
SkinVasculature-InFlow ,mL/s,Mean,6.3,valentin2002icrp,,,CardiovascularCompartments,,1f
SmallIntestineVasculature-Volume ,mL,Mean,215.6,valentin2002icrp,,,CardiovascularCompartments,,1f
SmallIntestineVasculature-InFlow ,mL/s,Mean,9.5,valentin2002icrp,,,CardiovascularCompartments,,1f
SplanchnicVasculature-Volume ,mL,Mean,65.8,valentin2002icrp,,,CardiovascularCompartments,,1f
SplanchnicVasculature-InFlow ,mL/s,Mean,2.4,valentin2002icrp,,,CardiovascularCompartments,,1f
SpleenVasculature-Volume ,mL,Mean,79.4,valentin2002icrp,,,CardiovascularCompartments,,1f
SpleenVasculature-InFlow ,mL/s,Mean,2.84,valentin2002icrp,,,CardiovascularCompartments,,1f
VenaCava-Volume ,mL,Mean,1032.7,valentin2002icrp,,,CardiovascularCompartments,,1f
VenaCava-InFlow ,mL/s,Mean,94.7,valentin2002icrp,,,CardiovascularCompartments,,1f
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
